user_id,hidden_time,time_to_completion,reach_end,raw_session_length,session_length,SP,MP,LP,VLP,NARRATIVE_ELEMENT_CHANGE,PLAY_PAUSE_BUTTON_CLICKED,LINK_CHOICE_CLICKED,SUBTITLES_BUTTON_CLICKED,BACK_BUTTON_CLICKED,SEEK_FORWARD_BUTTON_CLICKED,VIDEO_SCRUBBED,WINDOW_ORIENTATION_CHANGE,VOLUME_CHANGE,FULLSCREEN_BUTTON_CLICKED,SEEK_BACKWARD_BUTTON_CLICKED,NEXT_BUTTON_CLICKED,BROWSER_VISIBILITY_CHANGE,USER_SET_VARIABLE,total_events,FA-Score,AE-Score,PU-Score,RW-Score,UES-Score
89183017-3e13-4660-b81d-19b193533f87,1.131,3578.471,True,3992.119,3990.9880000000003,3,0,0,2,67,2,33,0,0,0,1,0,0,0,2,0,4,0,109,4.67,5.0,4.67,4.67,4.75
caf711b5-2061-4b97-adc2-c7f8238aefdc,0.0,2938.767,True,3731.518,3731.518,0,0,0,1,68,2,22,0,0,0,0,0,0,0,0,0,0,0,92,4.0,4.0,3.0,5.0,4.0
e14ec5a0-e14a-4fa9-8264-7cbde6cbc2ad,0.429,3753.154,True,3958.807,3958.3779999999997,0,0,0,0,66,0,32,0,0,0,0,7,0,0,0,0,3,0,108,4.33,4.33,5.0,5.0,4.66
dce9a213-82cf-49e3-b209-6d3e9be5b964,0.0,2113.964,True,2631.837,2631.837,1,4,0,4,59,0,39,0,0,0,0,0,0,3,0,12,0,0,113,2.33,3.0,3.67,3.0,3.0
8c3fc22c-4fe4-4fca-a34f-d271fbace09b,0.0,2565.107,True,2766.776,2766.776,0,1,0,3,59,2,26,0,0,0,1,0,0,0,0,2,1,0,91,3.67,3.67,5.0,4.33,4.17
fb57c7e0-11fe-4014-b274-6fafbbf88469,0.0,2119.254,True,2323.636,2323.636,1,1,1,2,49,0,28,0,0,0,0,4,0,2,0,6,1,0,90,3.67,3.67,2.67,4.67,3.67
e3da0af5-9676-4173-af90-f0185778c6ff,0.0,2334.024,True,3290.363,3290.363,0,0,0,4,44,2,21,0,0,0,0,0,0,0,0,4,0,0,71,4.67,5.0,5.0,5.0,4.92
eefee5a1-fe6a-45a5-b85c-32f13156c5d4,334.475,3721.6479999999997,True,5762.807,5428.331999999999,1,4,2,15,75,18,40,0,0,0,0,0,0,0,0,0,14,0,147,4.67,5.0,5.0,5.0,4.92
6e3d37b2-ad2d-4dd7-bf4f-cb7387001642,0.0,368.727,True,834.678,834.678,9,16,6,3,45,0,28,0,0,0,0,0,0,0,0,62,1,0,136,4.33,4.33,4.67,5.0,4.58
23cc43f1-d78a-499c-a39d-24102ff0c8d1,195528.418,4257.679999999993,True,199986.895,4458.476999999984,10,2,1,18,67,14,38,0,0,3,0,0,0,5,0,8,9,0,144,1.67,3.67,5.0,4.33,3.67
